comparison	plant_count	nonplant_count	plant_time	nonplant_time	plant_rate	nonplant_rate	raw_rate_ratio	corrected_rate_ratio
gain	53	7	2167.94419997928	3876.2995039087	0.0244471236854281	0.00180584601188363	13.5377676305457	12.7544502582122
loss	39	17	2167.94419997928	3876.2995039087	0.0179893929005981	0.00438562602886023	4.10189851624747	4.03578733137022
