branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	child_label	parent_label	diet_transition
branch_48	323	21	1.8313418381	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Pteropus_alecto	Node323	0
branch_49	323	22	1.83134157803	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Pteropus_pselaphon	Node323	0
branch_50	322	324	24.418142453	1	1	0	0	0	0	0	1	1	Plant_dominant	Omnivore	Omnivore	Node324	Node322	1
branch_51	324	23	2.1879856459	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Rousettus_leschenaultii	Node324	0
branch_52	324	24	2.1879855209	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Rousettus_aegyptiacus	Node324	0
branch_53	321	25	30.312321871	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Cynopterus_sphinx	Node321	0
branch_54	308	325	9.446735	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node325	Node308	0
branch_55	325	326	5.761645	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node326	Node325	0
branch_56	326	327	9.717307437	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node327	Node326	0
branch_57	327	328	2.87879957	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node328	Node327	0
branch_58	328	26	41.98716433056	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Miniopterus_schreibersii	Node328	0
branch_59	328	329	14.056988844	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node329	Node328	0
branch_60	329	330	13.795168721	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node330	Node329	0
branch_61	330	331	1.798687594	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node331	Node330	0
branch_62	331	332	7.5427260977	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node332	Node331	0
branch_63	332	27	4.7935936381	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Myotis_nesopolus	Node332	0
branch_64	332	28	4.7935938379	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Myotis_yumanensis	Node332	0
branch_65	331	29	12.336321737	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Myotis_mystacinus	Node331	0
branch_66	330	333	2.402624878	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node333	Node330	0
branch_67	333	30	11.7323834515	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Myotis_emarginatus	Node333	0
branch_68	333	334	2.7222996857	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node334	Node333	0
branch_69	334	31	9.0100828321	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Myotis_nattereri	Node334	0
branch_70	334	32	9.01008419844	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Myotis_daubentonii	Node334	0
branch_71	329	335	4.4430700033	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node335	Node329	0
branch_72	335	336	0.7739525982	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node336	Node335	0
branch_73	336	337	4.652700785	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node337	Node336	0
branch_74	337	33	18.0604534961	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Plecotus_auritus	Node337	0
branch_75	337	34	18.0604503318	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Corynorhinus_townsendii	Node337	0
branch_76	336	35	22.7131481154	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Antrozous_pallidus	Node336	0
