branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	diet_binary	stable_diet_branch	child_label	parent_label
branch_271	352	353	0.3416737764	10	10	0	0	0	0	0	10	10	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node353	Node352
branch_272	353	354	0.3643852157	10	10	0	0	0	0	0	10	10	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node354	Node353
branch_273	354	134	3.9134657305	10	12	2	2	0	1	0	10	12	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lepus_yarkandensis	Node354
branch_274	354	135	3.9134653662	10	10	0	0	0	0	0	10	10	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lepus_europaeus	Node354
branch_275	353	355	1.589631171	10	9	-1	0	1	0	1	10	9	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node355	Node353
branch_276	355	136	2.6882196295	9	8	-1	0	1	0	1	9	8	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lepus_capensis	Node355
branch_277	355	356	1.21758948	9	8	-1	0	1	0	1	9	8	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node356	Node355
branch_278	356	137	1.470629967	8	8	0	0	0	0	0	8	8	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lepus_tolai	Node356
branch_279	356	138	1.4706299669	8	8	0	0	0	0	0	8	8	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lepus_castroviejoi	Node356
branch_280	352	139	4.61952450365	10	8	-2	0	2	0	1	10	8	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lepus_oiostolus	Node352
branch_281	349	357	46.8905969417	8	15	7	7	0	1	0	8	15	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node357	Node349
branch_282	357	140	7.0635102283	15	15	0	0	0	0	0	15	15	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Ochotona_argentata	Node357
branch_283	357	141	7.0635104112	15	15	0	0	0	0	0	15	15	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Ochotona_princeps	Node357
branch_284	348	358	5.143362	3	2	-1	0	1	0	1	3	2	Non_plant	Non_plant	Non_plant	Non_plant	1	Node358	Node348
branch_285	358	359	6.967944	2	1	-1	0	1	0	1	2	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node359	Node358
branch_286	359	360	12.09071255	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node360	Node359
branch_287	360	142	52.9315670458	1	0	-1	0	1	0	1	1	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Eliomys_quercinus	Node360
branch_288	360	361	27.3212407694	1	0	-1	0	1	0	1	1	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node361	Node360
branch_289	361	362	6.943394325	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node362	Node361
branch_290	362	363	9.8746237901	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node363	Node362
branch_291	363	143	8.7923050278	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Sciurus_carolinensis	Node363
branch_292	363	144	8.7923058824	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Sciurus_vulgaris	Node363
branch_293	362	145	18.666928249	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Pteromys_volans	Node362
branch_294	361	364	21.4920416353	0	0	0	0	0	0	0	0	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Node364	Node361
