analysis	observed_plant_gain	observed_nonplant_gain	observed_plant_gain_fraction	observed_corrected_gain_RR	observed_log_corrected_gain_RR	null_median_plant_gain_fraction	null_low95_plant_gain_fraction	null_high95_plant_gain_fraction	empirical_p_plant_gain_fraction	null_median_log_RR	null_low95_log_RR	null_high95_log_RR	empirical_p_log_RR	observed_plant_gain_event_fraction	null_median_plant_gain_event_fraction	empirical_p_plant_gain_event_fraction
all_branches	53	7	0.883333333333333	12.7544502582122	2.54588025056398	0	0	0	9.99900009999e-05	Inf	Inf	Inf	1	0.961538461538462	0	9.99900009999e-05
stable_branches	52	0	1	198.734061849444	5.29196755836641	0	0	0	9.99900009999e-05	Inf	Inf	Inf	1	1	0	9.99900009999e-05
