term	estimate	std_error	statistic	p_value	rate_ratio	rate_ratio_low95	rate_ratio_high95	model	response
(Intercept)	-38.067565026555	6297863.5192776	-6.04452048064095e-06	0.999995177170431	2.93404364246846e-17	0	Inf	Negative_binomial	gain_count
diet_stateInsectivore	-0.781318985986917	7999206.72079209	-9.76745586479293e-08	0.999999922066978	0.457801778774714	0	Inf	Negative_binomial	gain_count
diet_stateOmnivore	32.6894277992907	6297863.51927764	5.19055830588088e-06	0.999995858533666	157339624659755	0	Inf	Negative_binomial	gain_count
diet_statePlant_dominant	33.2248119218528	6297863.51927762	5.27556874170938e-06	0.999995790705152	268752479628591	0	Inf	Negative_binomial	gain_count
starting_CN_z	1.29859824430696	0.146809977816172	8.8454358731189	9.11717277971446e-19	3.66415681337755	2.747937658005	4.88586235350346	Negative_binomial	gain_count
