analysis	n_branches	plant_branches	nonplant_branches	plant_time	nonplant_time	plant_gain	nonplant_gain	plant_loss	nonplant_loss	plant_gain_events	nonplant_gain_events	plant_loss_events	nonplant_loss_events	plant_gain_rate	nonplant_gain_rate	gain_rate_ratio	gain_rate_ratio_corrected	gain_poisson_p	gain_poisson_low95	gain_poisson_high95	gain_fisher_or	gain_fisher_p	plant_loss_rate	nonplant_loss_rate	loss_rate_ratio	loss_rate_ratio_corrected	loss_poisson_p	loss_poisson_low95	loss_poisson_high95	loss_fisher_or	loss_fisher_p
all_orders_all_branches	588	229	359	2167.94419997928	3876.2995039087	53	7	39	17	25	1	33	17	0.0244471236854281	0.00180584601188363	13.5377676305457	12.7544502582122	4.65639581066739e-17	6.13347761838287	35.2961557588256	43.6728462984265	4.21434756739189e-10	0.0179893929005981	0.00438562602886023	4.10189851624747	4.03578733137022	3.72477528384776e-07	2.26673067942537	7.73286163483366	3.3797905646146	6.16328399323615e-05
all_orders_stable_branches	531	213	318	1891.33179831665	3236.1650132167	52	0	39	12	24	0	33	12	0.0274938538263259	0	Inf	179.660346582331	2.99806410511863e-23	23.2742839902087	Inf	Inf	1.32836217472945e-10	0.0206203903697444	0.00370809274279626	5.56091548945311	5.40692090666826	1.178156321132e-08	2.85259722743896	11.6661387691948	4.66103501597166	3.96183342709946e-06
remove_Afrosoricida_all_branches	585	229	356	2167.94419997928	3726.5211966128	53	7	39	17	25	1	33	17	0.0244471236854281	0.00187842752816289	13.0146749442804	12.2616245701459	1.59748687221622e-16	5.89648305834117	33.9323296514057	43.3069157257125	4.7883954325477e-10	0.0179893929005981	0.00456189542553845	3.94340317401615	3.87984649282321	9.47322985483534e-07	2.17914532026577	7.43406766263134	3.35017230045981	6.65318110488227e-05
remove_Afrosoricida_stable_branches	528	213	315	1891.33179831665	3086.3867059208	52	0	39	12	24	0	33	12	0.0274938538263259	0	Inf	171.345188829436	1.40069745654113e-22	22.1970883449494	Inf	Inf	1.52648559007104e-10	0.0206203903697444	0.00388804163035685	5.30354155900636	5.15667425429542	3.86824264400446e-08	2.72057145545953	11.1261988988876	4.61538423328562	4.17165098296471e-06
remove_Artiodactyla_all_branches	503	183	320	1830.40319151634	3686.3596024794	53	7	34	16	25	1	29	16	0.0289553690933492	0.00189889233684416	15.248557557229	14.3662510822195	9.89691829243018e-19	6.90857525718347	39.7565889240838	50.1780117778997	6.1409098689444e-11	0.0185751424372429	0.00434032534135807	4.27966591818456	4.2110081761816	5.5712261281922e-07	2.29864555773105	8.30323810744968	3.56813455238019	7.14440630540621e-05
remove_Artiodactyla_stable_branches	453	167	286	1553.79078985371	3092.1852775836	52	0	34	12	24	0	29	12	0.0334665389572143	0	Inf	208.959569246029	1.83827243357046e-25	27.0698818610764	Inf	Inf	1.30055289335678e-11	0.0218819677797171	0.00388075064162308	5.63859155108331	5.49265153446704	3.10841568378027e-08	2.84822626034688	11.9589629380717	4.78055080354628	4.94401776302351e-06
remove_Carnivora_all_branches	493	223	270	2118.23425835198	3367.83439047182	53	7	39	16	25	1	33	16	0.025020839782487	0.00207848700037157	12.0380063854207	11.34146765117	1.72041553284706e-15	5.45398951658265	31.3859241790236	33.8066128301104	1.72376707424404e-08	0.0184115613493772	0.00475082742942074	3.87544309341964	3.80618498063903	2.11257115166287e-06	2.1163448507485	7.4283869466037	2.7515828533547	0.00133459684238007
remove_Carnivora_stable_branches	446	208	238	1865.74873624935	2783.02975472342	52	0	39	12	24	0	33	12	0.0278708483032575	0	Inf	156.622442544646	2.41403610198395e-21	20.2898150669755	Inf	Inf	5.29413523264962e-09	0.0209031362274431	0.00431184753940677	4.84783750733427	4.71358969943886	1.73905337076237e-07	2.48680776730458	10.1701860419086	3.54161404168432	0.000218799720600295
remove_Chiroptera_all_branches	485	218	267	2027.65896780455	2791.03646429413	53	7	39	16	25	1	33	16	0.0261385177890076	0.00250802885936868	10.4219366102458	9.81890631581653	1.16649951618115e-13	4.72180618574935	27.1724488071315	34.291460542197	1.44674055038564e-08	0.0192340036560622	0.0057326373928427	3.35517534740226	3.29521494880844	2.54392458780232e-05	1.83223128263445	6.43114610469413	2.79237865000513	0.00127587242404345
remove_Chiroptera_stable_branches	436	204	232	1795.00190606992	2314.04333624673	52	0	39	11	24	0	33	11	0.0289693285696012	0	Inf	135.361722728133	1.98083149887994e-19	17.5355732976655	Inf	Inf	5.64822900182282e-09	0.0217269964272009	0.00475358426858223	4.57065557263825	4.42798182009213	1.03350980303404e-06	2.29570348675902	9.8950686063249	3.86557764553293	9.40172475179377e-05
