term	estimate	std_error	statistic	p_value	rate_ratio	rate_ratio_low95	rate_ratio_high95	model	response
(Intercept)	-6.27980896285269	1.00008578061666	-6.27927032317221	3.40165700969559e-10	0.00187375851751494	0.000263890294357045	0.0133046612817424	Poisson	loss_count
diet_stateInsectivore	0.820932203966461	1.0606622014571	0.773980823337244	0.438942131663174	2.27261739333041	0.28423164812253	18.17105818646	Poisson	loss_count
diet_stateOmnivore	1.36110025372793	1.06071824403727	1.28318736985927	0.199426439805295	3.90048246214991	0.487771849198814	31.1903269172427	Poisson	loss_count
diet_statePlant_dominant	1.88576868934344	1.02132918934648	1.84638675660497	0.0648360687627383	6.59141924886887	0.890442702154996	48.7923676719589	Poisson	loss_count
starting_CN_z	0.413834436665822	0.0664590076655873	6.22691266695075	4.75716116050955e-10	1.51260667394782	1.32786817676269	1.72304675276541	Poisson	loss_count
