analysis	observed_plant_gain	observed_nonplant_gain	observed_plant_gain_fraction	null_median_plant_gain_fraction	null_low95_plant_gain_fraction	null_high95_plant_gain_fraction	empirical_p_plant_gain_fraction	observed_plant_gain_event_fraction	null_median_plant_gain_event_fraction	null_low95_plant_gain_event_fraction	null_high95_plant_gain_event_fraction	empirical_p_plant_gain_event_fraction	observed_corrected_gain_RR	observed_log_corrected_gain_RR	null_median_log_RR	null_low95_log_RR	null_high95_log_RR	empirical_p_log_RR	null_valid_log_RR_n	null_total_n	observed_plant_time	observed_nonplant_time	null_median_plant_time	null_median_nonplant_time
all_branches	53	7	0.883333333333333	0.93692870592349	0.873634765874403	0.996466696731212	0.961503849615039	0.961538461538462	0.977834731752963	0.943203829026712	0.998831626168973	0.919008099190081	12.7544502582122	2.54588025056398	2.63869747062333	1.89562204953614	4.48385112748541	0.551944805519448	10000	10000	2167.94419997928	3876.2995039087	2949.02341908078	3095.2202848072
stable_branches	52	0	1	1	0.940305542438843	1	0.858914108589141	1	1	0.970477255513963	1	0.858914108589141	198.734061849444	5.29196755836641	4.76165080050502	2.76940876441284	4.94915887692355	9.99900009999e-05	10000	10000	1891.33179831665	3579.7338150903	2561.63372504043	2909.43188836652
