comparison	plant_count	nonplant_count	plant_time	nonplant_time	plant_rate	nonplant_rate	raw_rate_ratio	corrected_rate_ratio
gain	52	0	1891.33179831665	3236.1650132167	0.0274938538263259	0	Inf	179.660346582331
loss	39	12	1891.33179831665	3236.1650132167	0.0206203903697444	0.00370809274279626	5.56091548945311	5.40692090666826
