diet_binary	n_branches	total_branch_length	gain_branches	gain_count	loss_branches	loss_count	gain_rate_per_Myr	loss_rate_per_Myr
Non_plant	359	3876.2995039087	1	7	17	17	0.00180584601188363	0.00438562602886023
Plant_dominant	229	2167.94419997928	25	53	33	39	0.0244471236854281	0.0179893929005981
