diet_binary	n_branches	total_branch_length	gain_branches	gain_count	loss_branches	loss_count	gain_rate_per_Myr	loss_rate_per_Myr
Non_plant	318	3236.1650132167	0	0	12	12	0	0.00370809274279626
Plant_dominant	213	1891.33179831665	24	52	33	39	0.0274938538263259	0.0206203903697444
