Scientific	BodyMass-Value
Trichosurus vulpecula	2650
Wyulda squamicaudata	1675
Hemibelideus lemuroides	952.5
Petauroides volans	1300
Petropseudes dahli	1640
Pseudocheirus peregrinus	900
Pseudochirulus caroli	456.02
Pseudochirulus schlegeli	255.44
Pseudochirulus mayeri	151.75
Pseudochirulus larvatus	448.3
Pseudochirulus herbertensis	1098.34
Pseudochirulus forbesi	639.16
Pseudochirulus cinereus	977.48
Pseudochirulus canescens	300
Pseudochirops albertisii	784.85
Pseudochirops archeri	1091.5
Pseudochirops corinnae	1123
Pseudochirops coronatus	1500
Pseudochirops cupreus	1724.5
Dactylopsila tatei	252
Dactylopsila trivirgata	413.53
Dactylopsila palpator	398
Dactylopsila megalura	277.74
Gymnobelideus leadbeateri	127
Petaurus abidi	278
Petaurus breviceps	106.28
Petaurus norfolcensis	230
Petaurus australis	575
Petaurus gracilis	353
Petaurus biacensis	90.98
Tarsipes rostratus	9
Acrobates pygmaeus	12
Distoechurus pennatus	44.1
Lagorchestes leporides	3000
Lagorchestes hirsutus	1265
Lagorchestes conspicillatus	3050
Lagorchestes asomatus	1500
Macropus fuliginosus	22000
Macropus giganteus	25875
Macropus parryi	13500
Macropus dorsalis	11250
Macropus eugenii	6500
Macropus greyi	10000
Macropus parma	4500
Macropus agilis	15000
Macropus rufogriseus	16850
Macropus irma	8000
Macropus antilopinus	27250
Macropus robustus	21262.5
Macropus bernardus	17000
Macropus rufus	46250
Dendrolagus inustus	13031.25
Dendrolagus lumholtzi	6750
Dendrolagus matschiei	6960
Dendrolagus mbaiso	9395.06
Dendrolagus pulcherrimus	9511.11
Dendrolagus scottae	10375
Dendrolagus spadix	9100
Dendrolagus stellarum	9511.11
Dendrolagus ursinus	13250
Dendrolagus bennettianus	10950
Dendrolagus dorianus	9581
Dendrolagus goodfellowi	8025
Dorcopsis luctuosa	6352
Dorcopsis muelleri	5500
Dorcopsis hageni	5500
Dorcopsis atrata	5916.5
Dorcopsulus vanheurni	1785.75
Dorcopsulus macleayi	2988
Onychogalea unguifera	6650
Onychogalea lunata	3500
Onychogalea fraenata	5500
Petrogale purpureicollis	5850
Petrogale coenensis	4123.14
Petrogale burbidgei	1258
Petrogale brachyotis	4050
Petrogale assimilis	4500
Petrogale godmani	4750
Petrogale xanthopus	8500
Petrogale sharmani	4123.14
Petrogale herberti	4123.14
Petrogale inornata	4600
Petrogale lateralis	4625
Petrogale mareeba	4123.14
Petrogale concinna	1400
Petrogale persephone	6200
Petrogale rothschildi	3400
Petrogale penicillata	7100
Setonix brachyurus	3250
Thylogale calabyi	4326.13
Thylogale browni	5478
Thylogale thetis	5400
Thylogale stigmatica	4600
Thylogale lanatus	4758.79
Thylogale brunii	3620
Thylogale billardierii	5450
