Scientific	BodyMass-Value
Prosciurillus abstrusus	79.2
Prosciurillus murinus	72.9
Prosciurillus leucomus	128
Rhinosciurus laticaudatus	228.25
Rubrisciurus rubriventer	129.52
Tamiops rodolphii	64.95
Tamiops swinhoei	85
Tamiops mcclellandii	45.84
Tamiops maritimus	70.33
Atlantoxerus getulus	251
Spermophilopsis leptodactylus	600
Xerus rutilus	317.5
Xerus erythropus	502.4
Xerus inauris	529
Xerus princeps	636
Epixerus ebii	592
Funisciurus substriatus	186
Funisciurus pyrropus	297
Funisciurus leucogenys	250
Funisciurus lemniscatus	141
Funisciurus carruthersi	286
Funisciurus congicus	112
Funisciurus anerythrus	218
Funisciurus isabella	109
Funisciurus bayonii	135
Heliosciurus undulatus	347.33
Heliosciurus ruwenzorii	291
Heliosciurus mutabilis	390
Heliosciurus gambianus	295
Heliosciurus punctatus	174
Heliosciurus rufobrachium	371.5
Myosciurus pumilio	165
Paraxerus ochraceus	104.3
Paraxerus cooperi	250
Paraxerus vexillarius	675
Paraxerus vincenti	190.19
Paraxerus lucifer	700
Paraxerus flavovittis	160
Paraxerus palliatus	309.31
Paraxerus boehmi	70
Paraxerus alexandri	52
Paraxerus poensis	124.5
Paraxerus cepapi	180
Protoxerus stangeri	621.5
Protoxerus aubinnii	350
Sciurotamias davidianus	433.51
Sciurotamias forresti	433.51
Spermophilus pygmaeus	136
Spermophilus mollis	165.4
Spermophilus canus	272.85
Spermophilus citellus	290
Spermophilus beldingi	280.5
Spermophilus dauricus	161.3
Spermophilus armatus	313
Spermophilus elegans	453.6
Spermophilus brunneus	300
Spermophilus musicus	284.72
Spermophilus pallidicauda	284.72
Spermophilus ralli	284.72
Spermophilus relictus	600
Spermophilus richardsonii	406
Spermophilus suslicus	252
Spermophilus alashanicus	267.76
Spermophilus washingtoni	207.5
Spermophilus xanthoprymnus	289.67
Spermophilus townsendii	213
Spermophilus variegatus	691.64
Spermophilus beecheyi	578.5
Spermophilus atricapillus	551
Spermophilus mexicanus	189.64
Spermophilus perotensis	140
Spermophilus tridecemlineatus	131.67
Spermophilus spilosoma	89
Spermophilus tereticaudus	156.5
Spermophilus mohavensis	190
Spermophilus franklinii	363
Spermophilus saturatus	220
Spermophilus lateralis	191
Spermophilus madrensis	275
Spermophilus columbianus	493
Spermophilus undulatus	840
Spermophilus adocetus	125
Spermophilus brevicauda	284.72
Spermophilus fulvus	596
Spermophilus parryii	759.99
Spermophilus annulatus	500
Spermophilus major	269.07
Spermophilus erythrogenys	254.81
Ammospermophilus interpres	110.3
Ammospermophilus insularis	122.31
Ammospermophilus harrisii	122
Ammospermophilus nelsoni	160.4
Ammospermophilus leucurus	103.67
Cynomys ludovicianus	1364
Cynomys mexicanus	899.99
Cynomys leucurus	908.49
Cynomys gunnisoni	925
Cynomys parvidens	899.99
Marmota monax	3801.72
Marmota himalayana	5000
Marmota marmota	2010
Marmota camtschatica	3500
Marmota sibirica	8000
Marmota caudata	4350
Marmota broweri	3405
Marmota bobak	5500
Marmota baibacina	7500
Marmota menzbieri	3250
Marmota olympus	6299.99
Marmota vancouverensis	6299.99
Marmota flaviventris	3349.96
Marmota caligata	7230.03
Tamias striatus	111.91
Tamias sibiricus	85
Tamias quadrimaculatus	85.25
Tamias quadrivittatus	62.2
Tamias ruficaudus	68
Tamias rufus	53.6
Tamias senex	89.35
Tamias sonomae	75
Tamias umbrinus	63
Tamias siskiyou	75
Tamias panamintinus	52.3
Tamias townsendii	74.78
Tamias cinereicollis	61.7
Tamias amoenus	50.5
Tamias bulleri	100
Tamias palmeri	69.4
Tamias speciosus	62
Tamias alpinus	36.55
Tamias dorsalis	71.1
Tamias durangae	85
Tamias merriami	74.8
Tamias minimus	135.27
Tamias obscurus	73
Tamias ochrogenys	91.7
Tamias canipes	70.4
Graphiurus lorraineus	27
Graphiurus surdus	20.01
Graphiurus rupicola	24.53
Graphiurus platyops	46.1
Graphiurus ocularis	30.3
Graphiurus murinus	19.08
Graphiurus kelleni	10.5
Graphiurus johnstoni	23.96
Graphiurus christyi	23.83
Graphiurus angolensis	23.96
Graphiurus microtis	25.18
Graphiurus monardi	25.05
Graphiurus nagtglasii	30
Graphiurus crassicaudatus	38.22
Chaetocauda sichuanensis	31.51
Dryomys nitedula	33.6
Dryomys laniger	20
Dryomys niethammeri	25.92
Eliomys melanurus	98.7
Eliomys munbyanus	106.54
Eliomys quercinus	115
Muscardinus avellanarius	27.5
Myomimus setzeri	37.74
Myomimus personatus	37.48
Myomimus roachi	36.99
Selevinia betpakdalaensis	28
Glirulus japonicus	62.99
Glis glis	128.09
Cratogeomys neglectus	302.48
Cratogeomys tylorhinus	403.42
Cratogeomys merriami	419.99
Cratogeomys gymnurus	599.99
Cratogeomys fumosus	150
Cratogeomys goldmani	71.51
Cratogeomys castanops	266.83
Cratogeomys zinseri	150
Geomys arenarius	206
Geomys knoxjonesi	172.49
Geomys texensis	189.76
Geomys tropicalis	350
Geomys personatus	397
Geomys bursarius	203.75
Geomys pinetis	85
Geomys breviceps	136.47
Geomys attwateri	144.06
Orthogeomys grandis	500
Orthogeomys cuniculus	500
Orthogeomys hispidus	500
Orthogeomys lanius	500
Orthogeomys cherriei	225
Orthogeomys dariensis	438
Orthogeomys heterodus	615
Orthogeomys matagalpae	293
Orthogeomys thaeleri	440.75
Orthogeomys underwoodi	250
Orthogeomys cavator	650
Pappogeomys alcorni	150
Pappogeomys bulleri	150
Thomomys clusius	58
Thomomys idahoensis	67
Thomomys mazama	75
Thomomys monticola	80
Thomomys talpoides	130.08
Thomomys bulbivorus	359.9
Thomomys umbrinus	166
Thomomys townsendii	263.35
Thomomys bottae	114.75
Zygogeomys trichopus	500
Castor canadensis	21820
Castor fiber	19000
Dipodomys nitratoides	43.9
Dipodomys ordii	60.4
Dipodomys panamintinus	74.7
Dipodomys phillipsii	41
Dipodomys simulans	70.36
Dipodomys nelsoni	88.6
Dipodomys stephensi	69.75
Dipodomys gravipes	83.97
Dipodomys venustus	72
Dipodomys spectabilis	135.88
Dipodomys microps	54.6
Dipodomys merriami	42
Dipodomys heermanni	72
Dipodomys elator	77.5
Dipodomys deserti	104.5
Dipodomys compactus	49.25
Dipodomys californicus	84.96
Dipodomys agilis	57.85
Dipodomys ingens	133.85
Microdipodops megacephalus	10.45
Microdipodops pallidus	12.5
Perognathus flavus	7.73
Perognathus alticolus	23.99
Perognathus amplus	11.7
Perognathus fasciatus	11.55
Perognathus inornatus	10.88
Perognathus longimembris	7.6
Perognathus merriami	6.85
Perognathus parvus	21.78
Perognathus flavescens	8.8
Chaetodipus goldmani	23
Chaetodipus pernix	17
Chaetodipus formosus	19.45
Chaetodipus penicillatus	16.89
Chaetodipus fallax	18.7
Chaetodipus eremicus	20.31
Chaetodipus dalquesti	20.31
Chaetodipus californicus	22
Chaetodipus baileyi	26.35
Chaetodipus artus	21.74
Chaetodipus arenarius	23
Chaetodipus intermedius	16.5
Chaetodipus lineatus	23
Chaetodipus hispidus	32
Chaetodipus rudinoris	20.31
Chaetodipus spinatus	16.35
Chaetodipus nelsoni	15.75
Heteromys oresterus	74.8
Heteromys teleus	83.95
Heteromys oasicus	83.95
Heteromys gaumeri	63.6
Heteromys desmarestianus	72.5
Heteromys australis	267.5
Heteromys anomalus	70
Heteromys nelsoni	54.2
Liomys adspersus	65
Liomys irroratus	50
Liomys spectabilis	65
Liomys salvini	42
Liomys pictus	40
Allactaga elater	59
Allactaga major	350
Allactaga vinogradovi	90.51
Allactaga severtzovi	159
Allactaga firouzi	92.39
Allactaga hotsoni	76.5
Allactaga sibirica	97.5
Allactaga balikunica	93.08
Allactaga bullata	89.35
Allactaga euphratica	232
Allactaga williamsi	116.74
Allactaga tetradactyla	52
Allactodipus bobrinskii	65.3
Pygeretmus shitkovi	58.3
Pygeretmus platyurus	40.14
Pygeretmus pumilio	52
Cardiocranius paradoxus	8.6
Salpingotulus michaelis	29.05
Salpingotus kozlovi	10.73
Salpingotus crassicauda	13.1
Salpingotus thomasi	10.45
Salpingotus heptneri	8.9
Salpingotus pallidus	9.8
Dipus sagitta	85.65
Eremodipus lichtensteini	51
Jaculus blanfordi	54.7
Jaculus jaculus	56.55
Jaculus orientalis	138
Paradipus ctenodactylus	109.01
Stylodipus sungorus	61.96
Stylodipus telum	55
Stylodipus andrewsi	61.97
Euchoreutes naso	24.14
Sicista concolor	13.1
Sicista subtilis	11.75
Sicista strandi	10.3
Sicista severtzovi	11.77
Sicista pseudonapaea	12.2
Sicista tianshanica	10.3
Sicista napaea	10
Sicista caudata	11.2
Sicista caucasica	10
Sicista betulina	8
Sicista armenica	6.53
Sicista kluchorica	7.2
Sicista kazbegica	6.43
Eozapus setchuanus	32.58
Napaeozapus insignis	22.3
Zapus hudsonius	17.12
Zapus princeps	29
Zapus trinotatus	27.5
Monticolomys koopmani	25
Nesomys lambertoni	155
Nesomys rufus	162.5
Nesomys audeberti	212.5
Voalavo gymnocaudus	50.88
Eliurus antsingy	77.7
Eliurus petteri	75
Eliurus penicillatus	100
Eliurus myoxinus	70
Eliurus minor	37.5
Eliurus webbi	75
Eliurus majori	100
Eliurus tanala	90
Eliurus grandidieri	77.7
Eliurus ellermani	100
Gymnuromys roberti	97.5
Hypogeomys antimena	1250
Macrotarsomys bastardi	25
Macrotarsomys ingens	55
Brachytarsomys albicauda	200
Brachytarsomys villosa	220
Brachyuromys betsileoensis	92.5
Brachyuromys ramirohitra	90
Petromyscus barbouri	21.49
Petromyscus collinus	20
Petromyscus monticularis	20.73
Petromyscus shortridgei	46.5
Beamys hindei	75.8
Beamys major	75.8
Cricetomys kivuensis	1285.41
Cricetomys ansorgei	1285.41
Cricetomys emini	1299.99
Cricetomys gambianus	1271
Saccostomus campestris	51.23
Saccostomus mearnsi	45.5
Delanymys brooksi	5
Dendromus nyikae	15
Dendromus kahuziensis	11
Dendromus oreas	12.76
Dendromus nyasae	13.72
Dendromus mystacalis	7.72
Dendromus messorius	12.81
Dendromus mesomelas	11.12
Dendromus melanotis	9.06
Dendromus leucostomus	10.79
Dendromus vernayi	12.76
Dendromus insignis	11.05
Dendromus lovati	12
Dendroprionomys rousseloti	67.18
Malacothrix typica	13.4
Megadendromus nikolausi	52
Prionomys batesi	12.5
Steatomys parvus	8.85
Steatomys pratensis	48
Steatomys opimus	40
Steatomys caurinus	44.75
Steatomys bocagei	27.5
Steatomys krebsii	20.67
Steatomys jacksoni	28.4
Steatomys cuppedius	28.39
Mystromys albicaudatus	86.85
Alticola barakshin	33.6
Alticola argentatus	37.7
Alticola albicaudus	34.53
Alticola semicanus	33.39
Alticola stoliczkanus	27.47
Alticola tuvinicus	33.32
Alticola montosa	34.53
Alticola roylei	37
Alticola olchonensis	36.96
Alticola lemminus	33.56
Alticola macrotis	36
Alticola strelzowi	50
Microtus gregalis	47.5
Microtus umbrosus	42
Microtus californicus	57.42
Microtus chrotorrhinus	39
Microtus longicaudus	46.71
Microtus richardsoni	85
Microtus miurus	41
Microtus mexicanus	35
Microtus abbreviatus	62
Microtus guatemalensis	42
Microtus xanthognathus	125.75
Microtus schidlovskii	37.99
Microtus socialis	48
Microtus paradoxus	37.99
Microtus anatolicus	37.99
Microtus tatricus	40
Microtus dogramacii	37.99
Microtus cabrerae	52.5
Microtus arvalis	28
Microtus agrestis	42.5
Microtus qazvinensis	37.99
Microtus levis	35.49
Microtus guentheri	50
Microtus irani	45.36
Microtus ilaeus	36.67
Microtus transcaspicus	35.17
Microtus maximowiczii	41.49
Microtus limnophilus	40.59
Microtus montebelli	39.85
Microtus mujanensis	41.55
Microtus fortis	63
Microtus clarkei	48.14
Microtus middendorffii	36.49
Microtus oeconomus	34.38
Microtus evoronensis	41.42
Microtus kikuchii	46.3
Microtus mongolicus	27.5
Microtus sachalinensis	36.33
Microtus duodecimcostatus	23
Microtus majori	18.2
Microtus thomasi	25.67
Microtus felteni	24.34
Microtus bavaricus	23.94
Microtus gerbei	24.89
Microtus liechtensteini	37.99
Microtus daghestanicus	12.99
Microtus lusitanicus	24.82
Microtus brachycercus	37.99
Microtus savii	20
Microtus schelkovnikovi	26.4
Microtus subterraneus	19.5
Microtus multiplex	23.17
Microtus montanus	36.33
Microtus townsendii	64.75
Microtus canicaudus	28.45
Microtus breweri	54
Microtus pennsylvanicus	36.75
Microtus oregoni	20.35
Microtus oaxacensis	39.2
Microtus quasiater	40
Microtus pinetorum	26.28
Microtus ochrogaster	38.01
Arborimus albipes	23
Arborimus pomo	32.5
Arborimus longicaudus	21.8
Arvicola amphibius	120
Arvicola scherman	162.48
Arvicola sapidus	220
Blanfordimys afghanus	56.99
Blanfordimys bucharensis	57.08
Caryomys eva	47.71
Caryomys inez	47.71
Chionomys roberti	93.5
Chionomys gud	93.5
Chionomys nivalis	54
Dicrostonyx hudsonius	57
Dicrostonyx nelsoni	60.85
Dicrostonyx nunatakensis	60.82
Dicrostonyx richardsoni	55
Dicrostonyx torquatus	85
Dicrostonyx unalascensis	60.84
Dicrostonyx vinogradovi	60.78
Dicrostonyx groenlandicus	54.4
Dinaromys bogdanovi	56
Ellobius alaicus	67.61
Ellobius talpinus	40
Ellobius tancrei	67.92
Ellobius lutescens	117.31
Ellobius fuscocapillus	80
Eolagurus przewalskii	28.03
Eolagurus luteus	26
Eothenomys custos	30.8
Eothenomys chinensis	45.3
Eothenomys cachinus	34.83
Eothenomys miletus	50.7
Eothenomys olitor	22
Eothenomys wardi	34.83
Eothenomys proditor	42.5
Eothenomys melanogaster	27
Hyperacrius wynnei	52.6
Hyperacrius fertilis	22.25
Lagurus lagurus	20.3
Lasiopodomys mandarinus	47.48
Lasiopodomys fuscus	42.5
Lasiopodomys brandtii	93.82
Lemmiscus curtatus	28.27
Lemmus amurensis	42.81
Lemmus lemmus	47.5
Lemmus portenkoi	55.76
Lemmus trimucronatus	69.82
Lemmus sibiricus	52.27
Myodes rutilus	19.94
Myodes rufocanus	36.43
Myodes andersoni	24
Myodes californicus	18.3
Myodes centralis	24
Myodes gapperi	19.83
Myodes glareolus	20.73
Myodes imaizumii	24
Myodes smithii	34.94
Myodes rex	24
Myodes shanseius	29.22
Myodes regulus	29.84
Myopus schisticolor	25
Neodon sikimensis	40.51
Neodon forresti	47.71
Neodon irene	41.87
Neodon juldaschi	47.71
Neofiber alleni	266
Ondatra zibethicus	1065.75
Phaiomys leucurus	41.87
Phenacomys ungava	32.5
Phenacomys intermedius	25.2
Proedromys bedfordi	55.86
Prometheomys schaposchnikowi	75
Synaptomys cooperi	31.92
Synaptomys borealis	21.3
Volemys musseri	42.5
Volemys millicens	49.02
Lophiomys imhausi	755.01
Baiomys musculus	9
Baiomys taylori	8
Habromys simulatus	40
Habromys chinanteco	40
Habromys lepturus	85
Habromys lophurus	40
Habromys ixtlani	48.29
Habromys delicatulus	48.29
Reithrodontomys zacatecae	14.49
Reithrodontomys megalotis	9.37
Reithrodontomys hirsutus	20
Reithrodontomys fulvescens	11.4
Reithrodontomys chrysopsis	19
Reithrodontomys burti	20
Reithrodontomys humulis	8.31
Reithrodontomys montanus	10.9
Reithrodontomys sumichrasti	19
Reithrodontomys raviventris	11.05
Reithrodontomys creper	22.8
Reithrodontomys rodriguezi	19.29
Reithrodontomys tenuirostris	20
Reithrodontomys paradoxus	16.22
Reithrodontomys mexicanus	16
Reithrodontomys brevirostris	12.9
Reithrodontomys spectabilis	20.2
Reithrodontomys gracilis	12.27
Reithrodontomys microdon	20
Reithrodontomys darienensis	13
Hodomys alleni	367.6
Isthmomys flavidus	233.68
Isthmomys pirrensis	138
Megadontomys cryophilus	76.56
Megadontomys thomasi	111
Megadontomys nelsoni	76.55
Nelsonia goldmani	88.08
Nelsonia neotomodon	80
Neotoma stephensi	152.5
Neotoma mexicana	203
Neotoma fuscipes	229.83
Neotoma albigula	206.03
Neotoma angustapalata	198
Neotoma anthonyi	195.4
Neotoma bryanti	182
Neotoma bunkeri	375
Neotoma chrysomelas	169.5
Neotoma nelsoni	198
Neotoma floridana	244.75
Neotoma goldmani	198
Neotoma lepida	163.75
Neotoma leucodon	220.57
Neotoma macrotis	225.74
Neotoma magister	447
Neotoma martinensis	246
Neotoma micropus	237.5
Neotoma palatina	198
Neotoma devia	200
Neotoma cinerea	299.15
Neotoma phenax	227.5
Neotomodon alstoni	40
Ochrotomys nuttalli	22.37
Onychomys arenicola	30
Onychomys leucogaster	27.92
Onychomys torridus	24.97
Osgoodomys banderanus	50
Peromyscus stephani	32.17
Peromyscus gossypinus	29.39
Peromyscus gratus	27.35
Peromyscus zarhynchus	40
Peromyscus yucatanicus	26.3
Peromyscus winkelmanni	53.75
Peromyscus fraterculus	33
Peromyscus stirtoni	29.2
Peromyscus dickeyi	28.6
Peromyscus spicilegus	36
Peromyscus slevini	32.87
Peromyscus truei	27.35
Peromyscus eva	22
Peromyscus simulus	40
Peromyscus difficilis	28
Peromyscus grandis	71
Peromyscus crinitus	17.98
Peromyscus caniceps	33.16
Peromyscus californicus	43.53
Peromyscus bullatus	40
Peromyscus boylii	21.35
Peromyscus beatae	33
Peromyscus aztecus	40
Peromyscus attwateri	27.9
Peromyscus eremicus	23.65
Peromyscus keeni	28.25
Peromyscus mekisturus	60
Peromyscus megalops	66.2
Peromyscus mayensis	32
Peromyscus maniculatus	21.28
Peromyscus sejugis	21.5
Peromyscus melanocarpus	59
Peromyscus furvus	33
Peromyscus madrensis	32.2
Peromyscus interparietalis	28
Peromyscus hylocetes	33
Peromyscus hooperi	36
Peromyscus gymnotis	40
Peromyscus guatemalensis	40
Peromyscus guardia	32.13
Peromyscus levipes	23
Peromyscus pseudocrinitus	33.03
Peromyscus leucopus	21.17
Peromyscus sagax	33
Peromyscus melanophrys	40
Peromyscus polius	40
Peromyscus polionotus	12.95
Peromyscus perfulvus	40
Peromyscus pembertoni	33
Peromyscus pectoralis	39
Peromyscus ochraventer	40
Peromyscus nasutus	28
Peromyscus mexicanus	32.6
Peromyscus merriami	40
Peromyscus melanurus	40
Peromyscus melanotis	39.6
Podomys floridanus	30.8
Scotinomys xerampelinus	15
Scotinomys teguina	11.25
Xenomys nelsoni	130
Juscelinomys guaporensis	97.3
Juscelinomys candango	97.3
Juscelinomys huanchacae	97.3
Kunsia tomentosus	115.6
Kunsia fronto	168
Lenoxus apicalis	53.6
Loxodontomys micropus	70.76
Loxodontomys pikumche	70.76
Lundomys molitor	238.49
Megalomys desmarestii	47.71
Megalomys luciae	47.71
Megaoryzomys curioi	47.71
Melanomys zunigae	53.5
Melanomys caliginosus	41
Melanomys robustulus	53.5
Microakodontomys transitorius	47.71
Abrawayaomys ruschii	63
Abrothrix andinus	24.91
Abrothrix olivaceus	24.52
Abrothrix markhami	29.03
Abrothrix longipilis	38.86
Abrothrix lanosus	27.83
Abrothrix jelskii	34.5
Abrothrix illuteus	47.79
Abrothrix hershkovitzi	32.42
Abrothrix sanborni	24.7
Aepeomys lugens	37
Aepeomys reigi	37
Akodon aerosus	60
Akodon bogotensis	13
Akodon iniscatus	28.7
Akodon orophilus	39
Akodon molinae	33
Akodon neocenus	42.4
Akodon mystax	18.5
Akodon montensis	31.32
Akodon mollis	30.4
Akodon lindberghi	26.4
Akodon leucolimnaeus	31.32
Akodon sanctipaulensis	27.1
Akodon juninensis	39
Akodon paranaensis	31.32
Akodon fumeus	22.7
Akodon dolores	50.5
Akodon dayi	32.5
Akodon cursor	39.85
Akodon lutescens	20.69
Akodon boliviensis	27.5
Akodon azarae	25
Akodon aliquantulus	31.32
Akodon albiventer	21.8
Akodon kofordi	29.5
Akodon subfuscus	30.4
Akodon torques	39
Akodon oenos	31.32
Akodon sylvanus	39
Akodon pervalens	31.32
Akodon toba	51.2
Akodon surdus	39
Akodon varius	40
Akodon spegazzinii	28.6
Akodon simulator	42.5
Akodon reigi	31.32
Akodon serrensis	28.3
Akodon affinis	24.9
Akodon budini	26.9
Akodon siberiae	34.6
Akodon latebricola	39
Akodon mimus	24
Amphinectomys savamis	47.71
Andalgalomys pearsoni	25.4
Andalgalomys roigi	28.91
Andalgalomys olrogi	32.9
Andinomys edax	69.75
Anotomys leander	66.4
Auliscomys boliviensis	65.7
Auliscomys pictus	54.7
Auliscomys sublimis	38
Bibimys labiosus	29
Bibimys torresi	28
Bibimys chacoensis	28
Blarinomys breviceps	36.8
Brucepattersonius griserufescens	23.7
Brucepattersonius soricinus	30.87
Brucepattersonius paradisus	30.87
Brucepattersonius misionensis	43
Brucepattersonius iheringi	43
Brucepattersonius guarani	30.87
Brucepattersonius albinasus	20
Brucepattersonius igniventris	32
Calomys tener	13.8
Calomys boliviae	27
Calomys callidus	27
Calomys callosus	44.95
Calomys expulsus	39.86
Calomys hummelincki	27
Calomys laucha	14
Calomys lepidus	26.6
Calomys musculinus	20.1
Calomys sorellus	20
Calomys tocantinsi	25.3
Calomys venustus	49.33
Chelemys megalonyx	50.8
Chelemys delfini	61.02
Chelemys macronyx	73.3
Chibchanomys trichotis	50
Chibchanomys orcesi	50
Chilomys instans	19
Chinchillula sahamae	169.75
Delomys collinus	77.94
Delomys dorsalis	67.5
Delomys sublineatus	90
Deltamys kempi	26.4
Eligmodontia typus	17.3
Eligmodontia puerulus	28.5
Eligmodontia moreni	18
Eligmodontia morgani	16.5
Euneomys chinchilloides	87.63
Euneomys fossor	83
Euneomys mordax	82
Euneomys petersoni	83
Galenomys garleppi	59.3
Geoxus valdivianus	31.5
Graomys centralis	65.28
Graomys edithae	40.4
Graomys griseoflavus	67.5
Graomys domorum	102
Handleyomys fuscatus	49.5
Handleyomys intectus	60.5
Holochilus brasiliensis	155
Holochilus chacarius	204
Holochilus sciureus	170.96
Ichthyomys pittieri	69.1
Ichthyomys stolzmanni	84.7
Ichthyomys hydrobates	66.4
Ichthyomys tweedii	118.5
Irenomys tarsalis	43.15
Juliomys pictipes	22.9
Juliomys rimofrons	19.8
Microryzomys altissimus	13.5
Microryzomys minutus	13.5
Neacomys paracou	17.31
Neacomys musseri	17.31
Neacomys dubosti	17.31
Neacomys guianae	14.2
Neacomys pictus	17.5
Neacomys spinosus	19
Neacomys tenuipes	19
Neacomys minutus	17.31
Necromys amoenus	27.09
Necromys benefactus	38
Necromys lactens	32.9
Necromys lenguarum	38
Necromys obscurus	40.69
Necromys punctulatus	37.3
Necromys temchuki	47.2
Necromys lasiurus	39.93
Necromys urichi	44.84
Nectomys squamipes	190.75
Nectomys apicalis	217.85
Nectomys magdalenae	217.85
Nectomys palmipes	156.08
Nectomys rattus	248.8
Neotomys ebriosus	64.5
Nesoryzomys darwini	55.26
Nesoryzomys fernandinae	32.5
Nesoryzomys indefessus	55.26
Nesoryzomys swarthi	93.95
Neusticomys peruviensis	40
Neusticomys mussoi	40
Neusticomys oyapocki	4.7
Neusticomys venezuelae	47.1
Neusticomys monticolus	39.5
Noronhomys vespuccii	47.71
Notiomys edwardsii	21.3
Oecomys catherinae	67.41
Oecomys rutilus	73.4
Oecomys rex	73.4
Oecomys phaeotis	73.4
Oecomys paricola	73.4
Oecomys mamorae	62.5
Oecomys flavicans	73.4
Oecomys speciosus	73.4
Oecomys cleberi	73.4
Oecomys roberti	73.4
Oecomys bicolor	34
Oecomys auyantepui	67.41
Oecomys concolor	61.55
Oecomys trinitatis	73.4
Oecomys superans	73.4
Oligoryzomys vegetus	15
Oligoryzomys flavescens	21.3
Oligoryzomys fulvescens	25
Oligoryzomys griseolus	25.2
Oligoryzomys longicaudatus	27
Oligoryzomys magellanicus	25.2
Oligoryzomys microtis	22.5
Oligoryzomys fornesi	23.96
Oligoryzomys stramineus	23.96
Oligoryzomys arenalis	25.2
Oligoryzomys eliurus	30
Oligoryzomys destructor	25.2
Oligoryzomys delticola	29.4
Oligoryzomys chacoensis	23
Oligoryzomys brendae	23.96
Oligoryzomys victus	23.96
Oligoryzomys nigripes	20.5
Oligoryzomys andinus	25.2
Oryzomys subflavus	50
Oryzomys talamancae	55
Oryzomys tatei	57.93
Oryzomys xanthaeolus	79.79
Oryzomys perenensis	57.93
Oryzomys seuanezi	57.93
Oryzomys yunganus	60.5
Oryzomys chapmani	50
Oryzomys hammondi	60.5
Oryzomys gorgasi	60.5
Oryzomys galapagoensis	63.51
Oryzomys emmonsae	57.93
Oryzomys dimidiatus	46
Oryzomys devius	57.93
Oryzomys rhabdops	54.88
Oryzomys couesi	69.3
Oryzomys laticeps	49.11
Oryzomys caracolus	57.93
Oryzomys bolivaris	60.5
Oryzomys balneator	60.5
Oryzomys auriventer	60.5
Oryzomys angouya	120.17
Oryzomys alfaroi	33.3
Oryzomys albigularis	60.5
Oryzomys curasoae	57.93
Oryzomys melanotis	50
Oryzomys saturatior	54.82
Oryzomys russatus	60.5
Oryzomys rostratus	43.5
Oryzomys polius	60.5
Oryzomys palustris	53.88
Oryzomys nitidus	55.2
Oryzomys keaysi	58.3
Oryzomys meridensis	57.93
Oryzomys lamia	60.5
Oryzomys megacephalus	57
Oryzomys marinhus	57.93
Oryzomys maracajuensis	57.93
Oryzomys macconnelli	58
Oryzomys levipes	60.5
Oryzomys legatus	61.5
Oryzomys scotti	57.93
Oryzomys nelsoni	57.93
Oxymycterus caparoae	60.57
Oxymycterus rufus	75.4
Oxymycterus akodontius	68
Oxymycterus amazonicus	60.57
Oxymycterus angularis	68
Oxymycterus dasytrichus	60.57
Oxymycterus hiska	68
Oxymycterus hispidus	36.75
Oxymycterus hucucha	68
Oxymycterus inca	35
Oxymycterus josei	60.57
Oxymycterus nasutus	68
Oxymycterus paramensis	42
Oxymycterus quaestor	60.57
Oxymycterus delator	81.5
Oxymycterus roberti	83.4
Paralomys gerbillus	17.4
Pearsonomys annectens	38.74
Phaenomys ferrugineus	93.8
Phyllotis darwini	50.83
Phyllotis xanthopygus	56.3
Phyllotis osilae	49
Phyllotis osgoodi	45.1
Phyllotis magister	68.5
Phyllotis limatus	48.29
Phyllotis definitus	89
Phyllotis wolffsohni	42.5
Phyllotis caprinus	50.8
Phyllotis bonariensis	42.5
Phyllotis andium	53
Phyllotis amicus	20.2
Phyllotis haggardi	42.5
Podoxymys roraimae	33.8
Pseudoryzomys simplex	51.25
Punomys lemminus	84.8
Punomys kofordi	84.8
Reithrodon auritus	70.85
Reithrodon typicus	70.85
Rhagomys longilingua	21.2
Rhagomys rufescens	21.2
Rheomys raptor	38
Rheomys thomasi	40
Rheomys mexicanus	40
Rheomys underwoodi	41.85
Rhipidomys caucensis	89
Rhipidomys leucodactylus	80
Rhipidomys ochrogaster	89
Rhipidomys modicus	79.72
Rhipidomys mastacalis	77.5
Rhipidomys macrurus	79.72
Rhipidomys macconnelli	41.6
Rhipidomys latimanus	57.5
Rhipidomys gardneri	79.72
Rhipidomys fulviventer	89
Rhipidomys venustus	89
Rhipidomys couesi	89
Rhipidomys venezuelae	90
Rhipidomys austrinus	89
Rhipidomys emiliae	79.72
Rhipidomys nitela	89
Rhipidomys wetzeli	89
Salinomys delicatus	12.3
Scapteromys aquaticus	146
Scapteromys tumidus	146
Scolomys melanops	26.5
Scolomys ucayalensis	26.5
Sigmodon mascotensis	120
Sigmodon alleni	179
Sigmodon arizonae	198
Sigmodon fulviventer	214
Sigmodon hirsutus	130.37
Sigmodon hispidus	92.38
Sigmodon leucotis	135.5
Sigmodon peruanus	127.32
Sigmodon planifrons	130.37
Sigmodon toltecus	130.37
Sigmodon zanjonensis	130.37
Sigmodon ochrognathus	122
Sigmodon inopinatus	140.5
Sigmodon alstoni	55.7
Sigmodontomys alfari	50
Sigmodontomys aphrastus	71
Tapecomys primus	62.33
Thalpomys lasiotis	24
Thalpomys cerradensis	24
Thaptomys nigrita	19.9
Thomasomys ucucha	76.23
Thomasomys ischyrus	77
Thomasomys vulcani	76.23
Thomasomys vestitus	76.5
Thomasomys hudsoni	76.23
Thomasomys pyrrhonotus	77
Thomasomys praetor	76.23
