Value	Std.Error	t-value	p-value	term	model	n_species	AIC	lambda	CI_low	CI_high
0.653367529236377	0.150567280937967	4.33937257262128	1.97547400152148e-05	(Intercept)	CNV_log1p ~ High_Order_Diet + log10_body_mass	295	-55.4381931319006	0.936228164575411	0.358255658597962	0.948479399874792
-0.0138665716352125	0.0601022763560311	-0.230716246969921	0.817697928921225	High_Order_DietInsectivore	CNV_log1p ~ High_Order_Diet + log10_body_mass	295	-55.4381931319006	0.936228164575411	-0.131667033293033	0.103933890022608
0.0171467053809609	0.0504220270695266	0.340063785165111	0.734054672089677	High_Order_DietOmnivore	CNV_log1p ~ High_Order_Diet + log10_body_mass	295	-55.4381931319006	0.936228164575411	-0.0816804676753112	0.115973878437233
-0.00663541311776084	0.0608574544959908	-0.109032051582078	0.913252472960491	High_Order_DietPlant_dominant	CNV_log1p ~ High_Order_Diet + log10_body_mass	295	-55.4381931319006	0.936228164575411	-0.125916023929903	0.112645197694381
0.0303756201740322	0.0220194687134527	1.37948924060435	0.168806749727433	log10_body_mass	CNV_log1p ~ High_Order_Diet + log10_body_mass	295	-55.4381931319006	0.936228164575411	-0.0127825385043352	0.0735337788523996
0.600196773824218	0.155634756070133	3.85644433788141	0.000141769033586753	(Intercept)	CNV_log1p ~ plant_dominant_prop + insectivore_prop + nectarivore_prop + log10_body_mass	295	-55.8146121391958	0.935745989834826	0.295152651926758	0.905240895721678
0.0378901995201665	0.0791025986769102	0.479000692188719	0.632299109826131	plant_dominant_prop	CNV_log1p ~ plant_dominant_prop + insectivore_prop + nectarivore_prop + log10_body_mass	295	-55.8146121391958	0.935745989834826	-0.117150893886578	0.192931292926911
0.0641903023110418	0.0745502039696762	0.861034563193839	0.389930339881388	insectivore_prop	CNV_log1p ~ plant_dominant_prop + insectivore_prop + nectarivore_prop + log10_body_mass	295	-55.8146121391958	0.935745989834826	-0.0819280974695236	0.210308702091607
-0.0790815307210826	0.280400926523051	-0.282030204756051	0.778121511544668	nectarivore_prop	CNV_log1p ~ plant_dominant_prop + insectivore_prop + nectarivore_prop + log10_body_mass	295	-55.8146121391958	0.935745989834826	-0.628667346706263	0.470504285264098
0.0302500084605532	0.0219311102194146	1.37931952180762	0.16885899497386	log10_body_mass	CNV_log1p ~ plant_dominant_prop + insectivore_prop + nectarivore_prop + log10_body_mass	295	-55.8146121391958	0.935745989834826	-0.0127349675694995	0.0732349844906059
0.646812873672995	0.143234412251107	4.51576449756401	9.16481125043979e-06	(Intercept)	CNV_log1p ~ plant_dominant_prop + log10_body_mass	295	-58.9062633519171	0.934920095291075	0.366073425660826	0.927552321685164
0.00647708144418342	0.0672903430605826	0.0962557352152597	0.923383494140809	plant_dominant_prop	CNV_log1p ~ plant_dominant_prop + log10_body_mass	295	-58.9062633519171	0.934920095291075	-0.125411990954558	0.138366153842925
0.0295654546702414	0.0218003588955697	1.35619118987301	0.176086093487659	log10_body_mass	CNV_log1p ~ plant_dominant_prop + log10_body_mass	295	-58.9062633519171	0.934920095291075	-0.0131632487650753	0.072294158105558
