Tupaia tana
Tursiops truncatus
Typhlomys cinereus
Urocyon cinereoargenteus
Uromys caudimaculatus
Ursus americanus
Ursus arctos
Ursus maritimus
Vespertilio murinus
Vulpes corsac
Vulpes ferrilata
Vulpes lagopus
Vulpes vulpes
Zalophus californianus
