species	PAG_CN
Saccopteryx_bilineata	0
Saccopteryx_leptura	0
Saguinus_midas	0
Saguinus_oedipus	0
Saimiri_boliviensis	0
Salpingotus_crassicauda	0
Scaptochirus_moschatus	0
Sciurus_carolinensis	0
Sciurus_vulgaris	0
Scotinomys_teguina	0
Scutisorex_somereni	0
Sigmodon_hispidus	0
Sorex_fumeus	0
Sorex_ornatus	0
Spermophilus_citellus	0
Suncus_etruscus	0
Suncus_murinus	0
Sus_scrofa	18
Sylvilagus_floridanus	0
Symphalangus_syndactylus	0
Tadarida_brasiliensis	0
Tadarida_teniotis	0
Talpa_europaea	0
Talpa_occidentalis	0
Tamandua_tetradactyla	0
Tamias_sibiricus	0
Tapirus_indicus	0
Tenrec_ecaudatus	0
Thomomys_bottae	0
Tokudaia_muenninki	0
Trachypithecus_francoisi	0
Trachypithecus_germaini	0
Trachypithecus_shortridgei	0
Trichechus_inunguis	0
Tupaia_tana	0
Tursiops_truncatus	2
Typhlomys_cinereus	0
Urocyon_cinereoargenteus	0
Uromys_caudimaculatus	0
Ursus_americanus	0
Ursus_arctos	0
Ursus_maritimus	0
Vespertilio_murinus	0
Vulpes_corsac	0
Vulpes_ferrilata	0
Vulpes_lagopus	0
Vulpes_vulpes	0
Zalophus_californianus	0
