DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	PGA_copy
COLOR	#ff8800
DATA

Acinonyx_jubatus	1
Acomys_cahirinus	1
Acomys_dimidiatus	1
Acomys_kempi	1
Acomys_minous	1
Acomys_percivali	1
Acomys_russatus	1
Ailuropoda_melanoleuca	1
Amblysomus_hottentotus	1
Anoura_caudifer	1
Antrozous_pallidus	1
Apodemus_agrarius	1
Apodemus_speciosus	1
Apodemus_sylvaticus	1
Arctocephalus_gazella	1
Artibeus_jamaicensis	1
Artibeus_lituratus	1
Arvicanthis_niloticus	1
Arvicola_amphibius	1
Aselliscus_stoliczkanus	1
Ateles_fusciceps	1
Ateles_geoffroyi	1
Ateles_hybridus	1
Axis_porcinus	1
Balaenoptera_edeni	1
Balaenoptera_musculus	1
Balaenoptera_physalus	1
Bison_bonasus	1
Bos_javanicus	1
Bos_taurus	1
Brachyteles_arachnoides	1
Bradypus_torquatus	1
Budorcas_taxicolor	1
Callithrix_jacchus	1
Camelus_dromedarius	1
Canis_aureus	1
Canis_latrans	1
Canis_lupus	1
Capra_hircus	1
Capra_ibex	1
Capra_nubiana	1
Capreolus_capreolus	1
Capricornis_sumatraensis	1
Castor_canadensis	1
Castor_fiber	1
Cebus_albifrons	1
Cervus_elaphus	1
Cervus_nippon	1
Chionomys_nivalis	1
Chlorocebus_sabaeus	3
Choloepus_didactylus	1
Colobus_guereza	3
Corynorhinus_townsendii	1
Cricetus_cricetus	1
Crocidura_zimmermanni	1
Ctenodactylus_gundi	1
Cynocephalus_volans	1
Cynomys_gunnisoni	1
Cynomys_ludovicianus	1
Cynopterus_sphinx	1
Dama_dama	1
Dasypus_novemcinctus	1
Daubentonia_madagascariensis	1
Delphinapterus_leucas	1
Delphinus_delphis	1
Desmodus_rotundus	1
Dipodomys_merriami	1
Dipodomys_spectabilis	1
Dipus_sagitta	1
Dugong_dugon	1
Eira_barbara	1
Eliomys_quercinus	1
Eospalax_fontanierii	1
Eptesicus_fuscus	1
Equus_caballus	10
Equus_kiang	10
Erythrocebus_patas	4
