species	PGA_CN
Acinonyx_jubatus	1
Acomys_cahirinus	0
Acomys_dimidiatus	0
Acomys_kempi	0
Acomys_minous	0
Acomys_percivali	0
Acomys_russatus	0
Ailuropoda_melanoleuca	1
Amblysomus_hottentotus	1
Anoura_caudifer	1
Antrozous_pallidus	1
Apodemus_agrarius	0
Apodemus_speciosus	0
Apodemus_sylvaticus	0
Arctocephalus_gazella	1
Artibeus_jamaicensis	1
Artibeus_lituratus	1
Arvicanthis_niloticus	0
Arvicola_amphibius	0
Aselliscus_stoliczkanus	1
Ateles_fusciceps	1
Ateles_geoffroyi	1
Ateles_hybridus	1
Axis_porcinus	1
Balaenoptera_edeni	1
Balaenoptera_musculus	1
Balaenoptera_physalus	1
Bison_bonasus	1
Bos_javanicus	1
Bos_taurus	1
Brachyteles_arachnoides	1
Bradypus_torquatus	1
Budorcas_taxicolor	1
Callithrix_jacchus	1
Camelus_dromedarius	1
Canis_aureus	1
Canis_latrans	1
Canis_lupus	1
Capra_hircus	1
Capra_ibex	1
Capra_nubiana	1
Capreolus_capreolus	1
Capricornis_sumatraensis	1
Castor_canadensis	0
Castor_fiber	0
Cebus_albifrons	1
Cervus_elaphus	1
Cervus_nippon	1
Chionomys_nivalis	0
Chlorocebus_sabaeus	3
Choloepus_didactylus	1
Colobus_guereza	3
Corynorhinus_townsendii	1
Cricetus_cricetus	0
Crocidura_zimmermanni	1
Ctenodactylus_gundi	0
Cynocephalus_volans	1
Cynomys_gunnisoni	0
Cynomys_ludovicianus	0
Cynopterus_sphinx	1
Dama_dama	1
Dasypus_novemcinctus	1
Daubentonia_madagascariensis	1
Delphinapterus_leucas	1
Delphinus_delphis	1
Desmodus_rotundus	1
Dipodomys_merriami	0
Dipodomys_spectabilis	0
Dipus_sagitta	0
Dugong_dugon	1
Eira_barbara	1
Eliomys_quercinus	0
Eospalax_fontanierii	0
Eptesicus_fuscus	1
Equus_caballus	10
Equus_kiang	10
Erythrocebus_patas	4
Eschrichtius_robustus	1
Eubalaena_glacialis	1
Eumetopias_jubatus	1
Felis_catus	1
Felis_chaus	1
Geomys_bursarius	0
Gorilla_gorilla	4
Grampus_griseus	1
Heterohyrax_brucei	1
Hipposideros_larvatus	1
Hyaena_hyaena	1
Hydrurga_leptonyx	1
Hylobates_pileatus	2
Ia_io	1
Inia_geoffrensis	1
Jaculus_jaculus	0
Kogia_breviceps	1
Kogia_sima	1
Lasiopodomys_brandtii	0
Lasiopodomys_mandarinus	0
Lemmus_lemmus	0
Lemur_catta	1
Leontopithecus_rosalia	1
Lepus_capensis	8
Lepus_castroviejoi	8
Lepus_europaeus	10
Lepus_oiostolus	8
Lepus_timidus	11
Lepus_tolai	8
Lepus_yarkandensis	12
Lontra_canadensis	1
Loris_tardigradus	1
Loxodonta_africana	1
Lutra_lutra	1
Lycaon_pictus	1
Lynx_canadensis	1
Lynx_rufus	1
Macaca_assamensis	5
Macaca_cyclopis	3
Macaca_fascicularis	13
Macaca_mulatta	4
Macaca_nemestrina	4
Macaca_nigra	4
Macaca_silenus	2
Macroderma_gigas	1
Macrotus_californicus	1
Manis_javanica	1
Manis_pentadactyla	1
Marmota_flaviventris	0
Marmota_himalayana	0
Marmota_monax	0
Martes_flavigula	1
Martes_foina	1
Martes_martes	1
Mastacomys_fuscus	0
Megaderma_spasma	1
Megaptera_novaeangliae	1
Meles_meles	1
Mephitis_mephitis	1
Meriones_unguiculatus	0
Mesocricetus_auratus	0
Mesoplodon_densirostris	1
Microcebus_murinus	1
Micromys_minutus	0
Micronycteris_microtis	1
Microtus_agrestis	0
Microtus_californicus	0
Microtus_oregoni	0
Microtus_pennsylvanicus	0
Miniopterus_schreibersii	1
Mirounga_leonina	1
Molossus_molossus	1
Monachus_monachus	1
Monodon_monoceros	1
Mops_condylurus	1
Moschus_berezovskii	1
Muntiacus_crinifrons	1
Muntiacus_gongshanensis	1
Mus_minutoides	0
Mus_musculus	0
