species	assembly
Ondatra_zibethicus	Ondatra_zibethicus__muskrat__HLondZib1__GCA_004026605.1
Cricetulus_griseus	Cricetulus_griseus__Chinese_hamster__HLcriGri3__GCA_003668045.1
Cricetus_cricetus	Cricetus_cricetus__Black-bellied_hamster__HLcriCri1__GCA_964304595.1
Mesocricetus_auratus	Mesocricetus_auratus__golden_hamster__HLmesAur3__GCF_017639785.1
Phodopus_roborovskii	Phodopus_roborovskii__desert_hamster__HLphoRob1__GCA_943737965.1
Phodopus_sungorus	Phodopus_sungorus__winter_white_dwarf_hamster__HLphoSun2__GCA_030556225.1
Neotoma_floridana	Neotoma_floridana__Eastern_woodrat__HLneoFlor1A__GCA_050000055.1
Onychomys_arenicola	Onychomys_arenicola__Chihuahuan_grasshopper_mouse__HLonyAre1A__GCA_949786405.1
Onychomys_arenicola	Onychomys_arenicola__Chihuahuan_grasshopper_mouse__HLonyAre1B__GCA_949786425.1
Onychomys_leucogaster	Onychomys_leucogaster__Northern_grasshopper_mouse__HLonyLeu1__GCA_949786385.1
Onychomys_torridus	Onychomys_torridus__southern_grasshopper_mouse__HLonyTor1__GCA_903995425.1
Peromyscus_eremicus	Peromyscus_eremicus__Cactus_mouse__HLperErem2__GCF_949786415.1
Peromyscus_leucopus	Peromyscus_leucopus__white-footed_mouse__HLperLeu1__GCA_004664715.1
Peromyscus_californicus	Peromyscus_californicus_insignis__California_mouse__HLperCal2__GCA_007827085.2
Peromyscus_californicus	Peromyscus_californicus_insignis__California_mouse__HLperCalIns3__GCF_007827085.1
Peromyscus_maniculatus	Peromyscus_maniculatus_sonoriensis__North_American_deer_mouse__HLperManSon3__GCA_026229955.1
Peromyscus_maniculatus	Peromyscus_maniculatus_bairdii__Prairie_deer_mouse__HLperManiBai4__GCF_049852395.1
Reithrodontomys_megalotis	Reithrodontomys_megalotis_longicaudus__Western_harvest_mouse__HLreiMegLon1__GCA_043882965.1
Scotinomys_teguina	Scotinomys_teguina__Alstons_brown_mouse__HLscoTegu1__GCA_049901635.1
Phyllotis_vaccarum	Phyllotis_vaccarum__Punta_de_Vaca_leaf-eared_mouse__HLphyVac1__GCA_033318265.1
Sigmodon_hispidus	Sigmodon_hispidus__Hispid_cotton_rat__HLsigHis2__GCA_041721565.1
Sigmodon_hispidus	Sigmodon_hispidus__Hispid_cotton_rat__HLsigHisp3__GCA_047301775.1
Acomys_cahirinus	Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2
Acomys_dimidiatus	Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1
Acomys_kempi	Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1
Acomys_minous	Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1
