species	assembly
Canis_latrans	Canis_latrans__Coyote__HLcanLat1__GCA_034620425.1
Canis_lupus	Canis_lupus__Gray_wolf__HLcanLup8__GCA_905319855.2
Canis_lupus	Canis_lupus_baileyi__Mexican_gray_wolf__HLcanLupBai8A__GCF_048164855.1
Canis_lupus	Canis_lupus_dingo__dingo__HLcanLupDin2
Canis_lupus	Canis_lupus_familiaris__Dog__HLcanLupFam7__GCF_014441545.1
Canis_lupus	Canis_lupus_familiaris__dog__canFam4__GCA_011100685.1
Canis_lupus	Canis_lupus_familiaris__dog__canFam5__GCA_005444595.1
Canis_lupus	Canis_lupus_familiaris__dog__canFam6__GCF_000002285.5
Lycaon_pictus	Lycaon_pictus__African_hunting_dog__HLlycPic3
Lycaon_pictus	Lycaon_pictus__African_hunting_dog__HLlycPict4A__GCA_040955705.1
Nyctereutes_procyonoides	Nyctereutes_procyonoides__raccoon_dog__HLnycPro4__GCA_905146905.1
Otocyon_megalotis	Otocyon_megalotis__bat-eared_fox__HLotoMeg2
Urocyon_cinereoargenteus	Urocyon_cinereoargenteus__Gray_fox__HLuroCin1__GCA_032313775.1
Urocyon_littoralis	Urocyon_littoralis_catalinae__Santa_Catalina_Island_fox__HLuroLitCat1
Vulpes_corsac	Vulpes_corsac__Corsac_fox__HLvulCor1__GCA_030463245.1
Vulpes_ferrilata	Vulpes_ferrilata__Tibetan_sand_fox__HLvulFer1__GCA_024500485.1
Vulpes_lagopus	Vulpes_lagopus__Arctic_fox__HLvulLag2__GCF_018345385.1
Vulpes_vulpes	Vulpes_vulpes__Red_fox__HLvulVul3__GCA_048418805.1
Mephitis_mephitis	Mephitis_mephitis__Striped_skunk__HLmepMeph1__GCA_055769545.1
Spilogale_interrupta	Spilogale_interrupta__plains_spotted_skunk__HLspiInt1__GCA_023159085.1
Eira_barbara	Eira_barbara__Tayra__HLeirBar1__GCA_020311275.1
Gulo_gulo	Gulo_gulo_luscus__American_wolverine__HLgulGulLus2__GCA_024510155.1
Martes_flavigula	Martes_flavigula__Yellow-throated_marten__HLmarFlav2__GCA_029410595.1
Martes_foina	Martes_foina__beach_marten__HLmarFoi1
Martes_foina	Martes_foina__Beach_marten__HLmarFoin2__GCA_964304585.1
Martes_martes	Martes_martes__European_pine_marten__HLmarMart2__GCA_963455335.1
Martes_martes	Martes_martes__European_pine_marten__HLmarMat1
Pekania_pennanti	Pekania_pennanti__Fisher__HLpekPenn1__GCA_047676605.1
Aonyx_cinereus	Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1
Enhydra_lutris	Enhydra_lutris_kenyoni__sea_otter__enhLutKen1__GCF_002288905.1
Lontra_canadensis	Lontra_canadensis__Northern_American_river_otter__HLlonCan1__GCA_010015895.1
Lutra_lutra	Lutra_lutra__Eurasian_river_otter__HLlutLut1__GCA_902655055.1
Meles_meles	Meles_meles__Eurasian_badger__HLmeeMel1__GCA_922984935.1
Mustela_erminea	Mustela_erminea__ermine__HLmusErm1__GCA_009829155.1
Mustela_eversmannii	Mustela_eversmannii__Steppe_polecat__HLmusEve1__GCA_963422785.1
Mustela_lutreola	Mustela_lutreola__European_mink__HLmusLut1__GCF_030435805.1
Mustela_nivalis	Mustela_nivalis__least_weasel__HLmusNiv1__GCA_019141155.1
Mustela_nivalis	Mustela_nivalis__Least_weasel__HLmusNiva2A__GCA_964662115.1
Mustela_putorius	Mustela_putorius_furo__domestic_ferret__HLmusFur2__GCA_011764305.1
Mustela_putorius	Mustela_putorius_furo__domestic_ferret__HLmusPutFur2__GCF_011764305.1
Neogale_vison	Neogale_vison__American_mink__HLneoVis2__GCF_020171115.1
Neogale_vison	Neogale_vison__American_mink__HLneoViso3A__GCA_964106545.1
Arctocephalus_gazella	Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1
Arctocephalus_gazella	Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1
Eumetopias_jubatus	Eumetopias_jubatus__Steller_sea_lion__HLeumJub1__GCA_004028035.1
Zalophus_californianus	Zalophus_californianus__California_sea_lion__HLzalCal1__GCA_009762305.1
Zalophus_californianus	Zalophus_californianus__California_sea_lion__HLzalCali2__GCF_009762305.2
Hydrurga_leptonyx	Hydrurga_leptonyx__Leopard_seal__HLhydLept1__GCA_050320145.1
Mirounga_leonina	Mirounga_leonina__Southern_elephant_seal__HLmirLeo1__GCA_011800145.1
Monachus_monachus	Monachus_monachus__Mediterranean_monk_seal__HLmonMona1__GCA_976986665.1
Neomonachus_schauinslandi	Neomonachus_schauinslandi__Hawaiian_monk_seal__HLneoSch2
Neomonachus_schauinslandi	Neomonachus_schauinslandi__Hawaiian_monk_seal__neoSch1__GCF_002201575.1
Phoca_vitulina	Phoca_vitulina__harbor_seal__HLphoVit1__GCA_004348235.1
Pusa_saimensis	Pusa_saimensis__Ringed_seal__HLpusHisSai1__GCA_947044825.1
Ailuropoda_melanoleuca	Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1
Ursus_americanus	Ursus_americanus__American_black_bear__HLursAme3__GCF_020975775.1
Ursus_arctos	Ursus_arctos__brown_bear__HLursArc2__GCF_023065955.1
Ursus_maritimus	Ursus_maritimus__polar_bear__HLursMar2__GCF_017311325.1
Ursus_thibetanus	Ursus_thibetanus_thibetanus__Asiatic_black_bear__HLursThi1__GCA_009660055.1
Acinonyx_jubatus	Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1
Felis_catus	Felis_catus__Domestic_cat__HLfelCatu10__GCA_051911835.1
Felis_chaus	Felis_chaus__jungle_cat__HLfelCha1__GCA_019924945.1
Felis_catus	Felis_catus__domestic_cat__felCat9__GCF_000181335.3
Herpailurus_yagouaroundi	Herpailurus_yagouaroundi__jaguarundi__HLpumYag1__GCA_014898765.1
Lynx_canadensis	Lynx_canadensis__Canada_lynx__HLlynCan1__GCA_007474595.1
Lynx_canadensis	Lynx_canadensis__Canada_lynx__HLlynCana2__GCF_007474595.2
Lynx_rufus	Lynx_rufus__bobcat__HLlynRuf1__GCA_022079265.1
Prionailurus_bengalensis	Prionailurus_bengalensis__leopard_cat__HLpriBen2__GCF_016509475.1
Prionailurus_viverrinus	Prionailurus_viverrinus__fishing_cat__HLpriViv3__GCF_022837055.1
Puma_concolor	Puma_concolor__Puma__HLpumConc2A__GCA_028749985.4
Neofelis_nebulosa	Neofelis_nebulosa__Clouded_leopard__HLneoNeb2__GCF_028018385.1
Panthera_leo	Panthera_leo__lion__HLpanLeo2__GCF_018350215.1
Panthera_leo	Panthera_leo__Lion__HLpanLeo3A__GCA_046255005.1
Panthera_leo	Panthera_leo__Lion__HLpanLeo3B__GCA_046254995.1
Panthera_onca	Panthera_onca__Jaguar__HLpanOnca3A__GCA_046562875.1
Panthera_pardus	Panthera_pardus__leopard__HLpanPar2__GCA_024362965.1
Panthera_tigris	Panthera_tigris__tiger__HLpanTig3__GCF_018350195.1
Hyaena_hyaena	Hyaena_hyaena__striped_hyena__HLhyaHya1__GCA_003009895.1
Proteles_cristata	Proteles_cristata_cristata__aardwolf__HLproCriCri1__GCA_017311185.1
Paguma_larvata	Paguma_larvata__Masked_palm_civet__HLpagLar1__GCA_030068075.1
Rhynchonycteris_naso	Rhynchonycteris_naso__Proboscis_bat__HLrhyNas2A__GCA_037038545.1
Rhynchonycteris_naso	Rhynchonycteris_naso__Proboscis_bat__HLrhyNas2B__GCA_037038555.1
Saccopteryx_bilineata	Saccopteryx_bilineata__greater_sac-winged_bat__HLsacBil1__GCF_036850765.1
Saccopteryx_leptura	Saccopteryx_leptura__lesser_sac-winged_bat__HLsacLep1__GCF_036850995.1
Miniopterus_schreibersii	Miniopterus_schreibersii__Schreibers_long-fingered_bat__HLminSch2A__GCA_964146895.1
Miniopterus_schreibersii	Miniopterus_schreibersii__Schreibers_long-fingered_bat__HLminSch2B__GCA_964145185.1
Molossus_alvarezi	Molossus_alvarezi__Alvarezs_mastiff_bat__HLmolAlv1__GCA_031001765.1
Molossus_alvarezi	Molossus_alvarezi__Alvarezs_mastiff_bat__HLmolAlv2A__GCA_037157525.1
Molossus_alvarezi	Molossus_alvarezi__Alvarezs_mastiff_bat__HLmolAlv2B__GCA_037176705.1
Molossus_molossus	Molossus_molossus__Pallass_mastiff_bat__HLmolMol2__GCA_014108415.1
Molossus_nigricans	Molossus_nigricans__northern_black_mastiff_bat__HLmolNig1__GCA_026936385.1
Molossus_nigricans	Molossus_nigricans__Northern_black_mastiff_bat__HLmolNig2A__GCA_039880945.1
Molossus_nigricans	Molossus_nigricans__Northern_black_mastiff_bat__HLmolNig2B__GCA_039880925.1
Mops_condylurus	Mops_condylurus__Angolan_free-tailed_bat__HLmopCon1__GCA_043748645.1
Tadarida_brasiliensis	Tadarida_brasiliensis__Brazilian_free-tailed_bat__HLtadBra3__GCA_030848825.1
Tadarida_teniotis	Tadarida_teniotis__European_free-tailed_bat__HLtadTeni1A__GCA_976988885.1
Pteronotus_mesoamericanus	Pteronotus_mesoamericanus__Mesoamerican_mustached_bat__HLpteMes1__GCA_021234165.1
Desmodus_rotundus	Desmodus_rotundus__common_vampire_bat__HLdesRot15A
Anoura_caudifer	Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1
Gardnerycteris_keenani	Gardnerycteris_keenani__Keenans_Hairy-nosed_Bat__HLgarKeen1A__GCA_050655435.1
Lophostoma_evote	Lophostoma_evote__Davis_round-eared_bat__HLlopEvot1A__GCA_051307075.1
Macrotus_californicus	Macrotus_californicus__California_big-eared_bat__HLmacCal1__GCA_007922815.1
Micronycteris_microtis	Micronycteris_microtis__Common_big-eared_bat__HLmicMicr1A__GCA_051107205.1
Phyllostomus_discolor	Phyllostomus_discolor__pale_spear-nosed_bat__HLphyDis3__GCA_014049915.1
Phyllostomus_discolor	Phyllostomus_discolor__Pale_spear-nosed_bat__HLphyDisc4__GCF_004126475.2
Phyllostomus_hastatus	Phyllostomus_hastatus__Greater_spear-nosed_bat__HLphyHast2__GCF_019186645.2
Artibeus_jamaicensis	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1
Artibeus_jamaicensis	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1
Artibeus_lituratus	Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2
Artibeus_lituratus	Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4
Dermanura_phaeotis	Dermanura_phaeotis__Dwarf_fruit-eating_bat__HLderPhae1A__GCA_051107565.1
Platyrrhinus_helleri	Platyrrhinus_helleri__Hellers_broad-nosed_bat__HLplaHell1A__GCA_051107505.1
Sturnira_hondurensis	Sturnira_hondurensis__Honduras_yellow-shouldered_bat__HLstuHon1__GCA_014824575.1
Sturnira_parvidens	Sturnira_parvidens__Northern_Yellow-shouldered_Bat__HLstuParv1A__GCA_054855685.1
Sturnira_parvidens	Sturnira_parvidens__Northern_Yellow-shouldered_Bat__HLstuParv1B__GCA_054855695.1
Antrozous_pallidus	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1
Corynorhinus_townsendii	Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1A__GCA_026230055.1
Corynorhinus_townsendii	Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1B__GCA_026230045.1
Eptesicus_fuscus	Eptesicus_fuscus__big_brown_bat__HLeptFus3__GCF_027574615.1
Ia_io	Ia_io__Great_evening_bat__HLiaxIox1__GCA_025583905.1
Myotis_daubentonii	Myotis_daubentonii__Daubentons_bat__HLmyoDau2__GCF_963259705.1
Myotis_daubentonii	Myotis_daubentonii__Daubentons_bat__HLmyoDaub3A__GCA_963259705.2
Myotis_emarginatus	Myotis_emarginatus__Geoffroys_bat__HLmyoEma1A__GCA_965115925.1
Myotis_mystacinus	Myotis_mystacinus__Whiskered_bat__HLmyoMys2A__GCA_964094495.2
Myotis_mystacinus	Myotis_mystacinus__Whiskered_bat__HLmyoMys2B__GCA_964195625.1
Myotis_mystacinus	Myotis_mystacinus__Whiskered_bat__HLmyoMyst3A__GCA_964094495.3
Myotis_nattereri	Myotis_nattereri__Natterers_bat__HLmyoNat1A__GCA_964212035.1
Myotis_nattereri	Myotis_nattereri__Natterers_bat__HLmyoNat1B__GCA_964212025.1
Myotis_nesopolus	Myotis_nesopolus__Cucacao_Myotis__HLmyoNeso1A__GCA_054855985.1
Myotis_pilosus	Myotis_pilosus__Ricketts_big-footed_Myotis__HLmyoRic2__GCA_036010255.1
Myotis_yumanensis	Myotis_yumanensis__Yuma_myotis__HLmyoYum1A__GCA_028536395.1
Myotis_yumanensis	Myotis_yumanensis__Yuma_myotis__HLmyoYum1B__GCA_028538775.1
Neoeptesicus_chiriquinus	Neoeptesicus_chiriquinus__Chiriquinan_serotine__HLneoChir1A__GCA_054100705.1
Neoeptesicus_chiriquinus	Neoeptesicus_chiriquinus__Chiriquinan_serotine__HLneoChir1B__GCA_054099605.1
Neoeptesicus_furinalis	Neoeptesicus_furinalis__Argentine_brown_bat__HLneoFuri1A__GCA_054644455.1
Nyctalus_aviator	Nyctalus_aviator__birdlike_noctule__HLnycAvi1__GCA_036971965.1
Nyctalus_leisleri	Nyctalus_leisleri__Lesser_noctule__HLnycLeis2A__GCA_964264875.2
Pipistrellus_abramus	Pipistrellus_abramus__Japanese_house_bat__HLpipAbr1__GCA_044885105.1
Pipistrellus_hanaki	Pipistrellus_hanaki__Hanakis_dwarf_bat__HLpipHan1__GCA_964339955.1
Pipistrellus_nathusii	Pipistrellus_nathusii__Nathusiuss_pipistrelle__HLpipNat1A__GCA_963693515.1
Pipistrellus_nathusii	Pipistrellus_nathusii__Nathusiuss_pipistrelle__HLpipNat1B__GCA_963693525.1
Pipistrellus_pipistrellus	Pipistrellus_pipistrellus__common_pipistrelle__HLpipPip2__GCA_903992545.1
Pipistrellus_pygmaeus	Pipistrellus_pygmaeus__soprano_pipistrelle__HLpipPyg1__GCA_949987585.1
Plecotus_auritus	Plecotus_auritus__brown_big-eared_bat__HLpleAur1__GCA_963455305.1
Vespertilio_murinus	Vespertilio_murinus__particolored_bat__HLvesMur1__GCA_963924515.1
Cynopterus_sphinx	Cynopterus_sphinx__Indian_short-nosed_fruit_bat__HLcynSph1__GCA_030015415.1
Pteropus_medius	Pteropus_medius__Indian_flying_fox__HLpteGig1__GCA_902729225.1
Pteropus_pselaphon	Pteropus_pselaphon__Bonin_flying_fox__HLptePse1__GCA_014363405.1
Pteropus_alecto	Pteropus_alecto__black_flying_fox__pteAle1__GCF_000325575.1
Rousettus_aegyptiacus	Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4__GCA_014176215.1
Rousettus_leschenaultii	Rousettus_leschenaultii__Leschenaults_rousette__HLrouLesc2A__GCA_053538355.1
Aselliscus_stoliczkanus	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1
Aselliscus_stoliczkanus	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1
Doryrhina_cyclops	Doryrhina_cyclops__cyclops_roundleaf_bat__HLhipCyc2__GCA_043880285.1
Hipposideros_pendleburyi	Hipposideros_pendleburyi__Pendleburys_leaf-nosed_bat__HLhipPen1__GCA_021464545.1
Hipposideros_larvatus	Hipposideros_larvatus__Intermediate_roundleaf_bat__HLhipLar2__GCA_043727955.1
Macroderma_gigas	Macroderma_gigas__Australian_ghost_bat__HLmacGiga1__GCA_055471755.1
Megaderma_spasma	Megaderma_spasma__lesser_false_vampire_bat__HLmegSpa1__GCA_043880595.1
Rhinolophus_affinis	Rhinolophus_affinis__intermediate_horseshoe_bat__HLrhiAff2__GCA_043728065.1
Rhinolophus_affinis	Rhinolophus_affinis__Intermediate_horseshoe_bat__HLrhiAff4__GCA_040057535.1
Rhinolophus_clivosus	Rhinolophus_clivosus__Geoffroys_horseshoe_bat__HLrhiCliv1A__GCA_054645015.1
Rhinolophus_ferrumequinum	Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer5__GCA_014108255.1
Rhinolophus_ferrumequinum	Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer6__GCF_004115265.1
Rhinolophus_hipposideros	Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1A__GCA_964194185.1
Rhinolophus_hipposideros	Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1B__GCA_964194215.1
Rhinolophus_perniger	Rhinolophus_perniger_lanosus__Northern_woolly_horseshoe_bat__HLrhiLuc4__GCA_043748575.1
Rhinolophus_rex	Rhinolophus_rex__king_horseshoe_bat__HLrhiRex1__GCA_041825415.1
Rhinolophus_yonghoiseni	Rhinolophus_yonghoiseni__Yong_Hoi_Sens_woolly_horseshoe_bat__HLrhiSed2__GCA_043880425.1
Rhinolophus_sinicus	Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin4__GCA_036562045.1
Rhinolophus_trifoliatus	Rhinolophus_trifoliatus__Trefoil_horseshoe_bat__HLrhiTri2__GCA_043728145.1
Rhinopoma_cystops	Rhinopoma_cystops__Egyptian_mouse-tailed_bat__HLrhiCyst1A__GCA_055761895.1
Rhinopoma_cystops	Rhinopoma_cystops__Egyptian_mouse-tailed_bat__HLrhiCyst1B__GCA_055761905.1
Rhinopoma_microphyllum	Rhinopoma_microphyllum__Greater_mouse-tailed_bat__HLrhiMic1__GCA_043880545.1
Crocidura_zimmermanni	Crocidura_zimmermanni__Zimmermanns_shrew__HLcroZim1__GCA_965212715.1
Crocidura_gueldenstaedtii	Crocidura_gueldenstaedtii__Guldenstadts_white-toothed_shrew__HLcroGuel1__GCA_965212715.2
Scutisorex_somereni	Scutisorex_somereni__Hero_shrew__HLscuSome1__GCA_054737625.1
Suncus_etruscus	Suncus_etruscus__white-toothed_pygmy_shrew__HLsunEtr1__GCF_024139225.1
Suncus_murinus	Suncus_murinus__House_shrew__HLsunMuri1__GCA_055769025.1
Sorex_fumeus	Sorex_fumeus__smoky_shrew__HLsorFum1__GCF_029834395.1
Sorex_ornatus	Sorex_ornatus__Ornate_shrew__HLsorOrn1A__GCA_041430695.1
Sorex_ornatus	Sorex_ornatus__Ornate_shrew__HLsorOrn1B__GCA_041430635.1
Scaptochirus_moschatus	Scaptochirus_moschatus__Short-faced_mole__HLscaMos1__GCA_042919465.1
Talpa_europaea	Talpa_europaea__European_mole__HLtalEur1A__GCA_964194135.1
Talpa_europaea	Talpa_europaea__European_mole__HLtalEur1B__GCA_964194205.1
Talpa_occidentalis	Talpa_occidentalis__Iberian_mole__HLtalOcc1__GCA_014898055.1
Equus_asinus	Equus_asinus__Ass__HLequAsin4__GCF_041296235.1
Equus_caballus	Equus_caballus__Horse__HLequCaba4__GCF_041296265.1
Equus_kiang	Equus_kiang__Kiang__HLequKian1__GCA_052150635.1
Ceratotherium_simum	Ceratotherium_simum_cottoni__northern_white_rhinoceros__HLcerSimCot2__GCA_021442165.1
Ceratotherium_simum	Ceratotherium_simum_simum__Southern_white_rhinoceros__HLcerSimuSim3__GCA_023653735.1
Diceros_bicornis	Diceros_bicornis_minor__black_rhinoceros__HLdicBicMin2__GCA_020826845.1
Tapirus_indicus	Tapirus_indicus__Asiatic_tapir__HLtapIndi3A__GCA_031878655.1
Tapirus_indicus	Tapirus_indicus__Asiatic_tapir__HLtapIndi3B__GCA_031878705.1
Manis_javanica	Manis_javanica__Malayan_pangolin__HLmanJav3__GCA_024605085.1
Manis_javanica	Manis_javanica__Malayan_pangolin__HLmanJava4__GCF_040802235.1
Manis_pentadactyla	Manis_pentadactyla__Chinese_pangolin__HLmanPen4__GCF_030020395.1
Dasypus_novemcinctus	Dasypus_novemcinctus__nine-banded_armadillo__HLdasNov4__GCF_030445035.1
Dasypus_novemcinctus	Dasypus_novemcinctus__Nine-banded_armadillo__HLdasNove5A__GCF_030445035.2
Bradypus_torquatus	Bradypus_torquatus__Maned_three-toed_sloth__HLbraTor4__GCA_963992745.1
Choloepus_didactylus	Choloepus_didactylus__southern_two-toed_sloth__HLchoDid2__GCF_015220235.1
Myrmecophaga_tridactyla	Myrmecophaga_tridactyla__giant_anteater__HLmyrTri2
Tamandua_tetradactyla	Tamandua_tetradactyla__southern_tamandua__HLtamTet2__GCA_023851605.1
